ID;Fail;Total (ms);Filtering (ms);Timeout;Restarts;Restarting (ms);Query;In;Candidates;Out
1;success;452;93;false;0;0;CONSTRUCT { ?v2 a :C5 . ?v2 a :C3 . ?v1 a :C2 . ?v3 a :C1 . ?v2 a :C4 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };;20;:C3 ⊑ :C4,:C4 ⊑ :C3,:C5 ⊑ :C4,:C5 ⊑ :C3,:C3 ⊑ :C5,:C4 ⊑ :C5
2;success;260;219;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v3 a :C1 . ?v3 :p4 ?v2 . ?v2 :p4 ?v1 . ?v1 :p3 ?v2 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v1 };;66;∃-:p2.shar:T ⊑ ∃-:p4.:C1,∃-:p3.shar:T ⊑ ∃-:p4.:C1
3;success;159;130;false;0;0;CONSTRUCT { ?v3 :p2 ?v2 . ?v1 :p2 ?v2 . ?v2 a :C2 . ?v2 a :C1 . ?v1 :p3 ?v3 } WHERE { ?v1 :p1 ?v2 . ?v3 :p1 ?v2 };;74;∃-:p2.shar:T ⊑ :C2,∃-:p2.shar:T ⊑ ∀:p2.:C1,∃-:p3.shar:T ⊑ ∃:p2.:C2,∃-:p3.shar:T ⊑ ∀:p2.:C2,∃-:p3.shar:T ⊑ ∀:p2.:C1,∃-:p3.shar:T ⊑ ∃:p2.:C1,∃:p2.shar:T ⊑ ∃:p2.:C2,∃-:p2.shar:T ⊑ ∀:p2.:C2,∃:p3.shar:T ⊑ ∃:p2.:C2,∃:p3.shar:T ⊑ ∃:p2.:C1,∃-:p2.shar:T ⊑ :C1,∃:p2.shar:T ⊑ ∃:p2.:C1,:C2 ⊑ :C1,:C1 ⊑ :C2
4;success;102;78;false;0;0;CONSTRUCT { ?v1 a :C5 . ?v2 a :C2 . ?v3 a :C4 . ?v3 a :C3 . ?v3 :p1 ?v2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;76;∃:p1.shar:T ⊑ :C5,:C3 ⊑ :C4,:C2 ⊑ ∃-:p1.:C4,:C4 ⊑ ∃:p1.:C2,∃-:p1.shar:T ⊑ ∃-:p1.:C4,∃:p1.shar:T ⊑ ∀-:p1.:C4,:C2 ⊑ ∃-:p1.:C3,∃-:p1.shar:T ⊑ ∃-:p1.:C5,∃:p1.shar:T ⊑ ∀-:p1.:C5,∃:p1.shar:T ⊑ :C3,:C3 ⊑ :C5,∃-:p1.shar:T ⊑ :C2,∃-:p1.shar:T ⊑ ∀:p1.:C2,∃:p1.shar:T ⊑ :C4,∃:p1.shar:T ⊑ ∃:p1.:C2,∃-:p1.shar:T ⊑ ∃-:p1.:C3,∃:p1.shar:T ⊑ ∀-:p1.:C3,:C2 ⊑ ∃-:p1.:C5,:C4 ⊑ :C3,:C3 ⊑ ∃:p1.:C2,:C4 ⊑ :C5
5;success;84;64;false;0;0;CONSTRUCT { ?v1 a :C3 . ?v3 a :C4 . ?v3 :p1 ?v2 . ?v1 a :C2 . ?v2 :p1 ?v3 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };;48;:C2 ⊑ :C3,:C3 ⊑ :C2
6;success;119;94;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v2 :p5 ?v1 . ?v2 :p3 ?v1 . ?v1 :p4 ?v2 . ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v1 a :C1 };;112;∃-:p4.shar:T ⊑ ∀:p3.:C2,∃-:p3.shar:T ⊑ ∀:p5.:C2,∃:p5.shar:T ⊑ ∃:p5.:C2,∃-:p2.shar:T ⊑ ∀:p3.:C2,∃:p2.shar:T ⊑ ∀-:p2.:C2,∃:p3.shar:T ⊑ ∀-:p2.:C2,∃:p2.shar:T ⊑ ∀-:p4.:C2,∃:p4.shar:T ⊑ ∀-:p4.:C2,∃-:p2.shar:T ⊑ ∃:p5.:C2,∃-:p2.shar:T ⊑ ∀:p5.:C2,∃:p5.shar:T ⊑ ∃-:p4.:C2,∃-:p5.shar:T ⊑ :C2,∃-:p4.shar:T ⊑ ∀:p5.:C2,∃-:p2.shar:T ⊑ ∃-:p4.:C2,∃:p5.shar:T ⊑ ∀-:p4.:C2,∃-:p4.shar:T ⊑ ∃:p3.:C2,∃-:p4.shar:T ⊑ ∃:p5.:C2,∃-:p4.shar:T ⊑ ∃-:p4.:C2,∃:p3.shar:T ⊑ ∃:p5.:C2,∃:p3.shar:T ⊑ ∃:p3.:C2,∃:p3.shar:T ⊑ ∀-:p4.:C2,∃-:p3.shar:T ⊑ :C2,∃-:p2.shar:T ⊑ ∃-:p2.:C2,∃:p5.shar:T ⊑ ∀-:p2.:C2,∃-:p4.shar:T ⊑ ∃-:p2.:C2,∃-:p5.shar:T ⊑ ∀:p5.:C2,∃:p3.shar:T ⊑ ∃-:p2.:C2,∃-:p5.shar:T ⊑ ∀:p3.:C2,∃:p4.shar:T ⊑ ∀-:p2.:C2,∃:p4.shar:T ⊑ :C2,∃:p5.shar:T ⊑ ∃-:p2.:C2,∃-:p2.shar:T ⊑ ∃:p3.:C2,∃:p3.shar:T ⊑ ∃-:p4.:C2,∃:p5.shar:T ⊑ ∃:p3.:C2,∃-:p3.shar:T ⊑ ∀:p3.:C2,∃:p2.shar:T ⊑ :C2
7;success;76;56;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v3 :p4 ?v2 . ?v2 a :C1 . ?v1 :p3 ?v3 . ?v3 :p5 ?v1 } WHERE { ?v1 :p1 ?v2 . ?v2 :p2 ?v3 };;66;∃-:p5.shar:T ⊑ :C1,∃:p4.shar:T ⊑ ∃:p5.:C1,∃-:p4.shar:T ⊑ :C1,∃-:p4.shar:T ⊑ ∀:p4.:C1,∃:p5.shar:T ⊑ ∃:p5.:C1,∃-:p5.shar:T ⊑ ∀:p5.:C1,∃-:p3.shar:T ⊑ ∀:p4.:C1,∃-:p5.shar:T ⊑ ∀:p4.:C1,∃-:p4.shar:T ⊑ ∀:p5.:C1,∃-:p3.shar:T ⊑ ∀:p5.:C1,∃:p5.shar:T ⊑ ∀-:p3.:C1,∃:p4.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ ∀-:p3.:C1,∃:p4.shar:T ⊑ ∃-:p3.:C1,∃:p5.shar:T ⊑ ∃-:p3.:C1,∃:p4.shar:T ⊑ ∀-:p3.:C1,∃:p5.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ :C1,∃-:p3.shar:T ⊑ ∃:p4.:C1,∃-:p3.shar:T ⊑ ∃:p5.:C1,∃-:p3.shar:T ⊑ ∃-:p3.:C1
8;success;58;43;false;0;0;CONSTRUCT { ?v2 :p1 ?v1 . ?v1 :p2 ?v2 . ?v1 a :C3 . ?v1 :p3 ?v2 } WHERE { ?v1 a :C1 . ?v2 a :C2 };;66;∃:p1.shar:T ⊑ ∀-:p2.:C3,∃-:p2.shar:T ⊑ ∃-:p2.:C3,∃:p2.shar:T ⊑ ∀-:p2.:C3,∃:p2.shar:T ⊑ :C3,∃-:p2.shar:T ⊑ ∀:p1.:C3,∃:p3.shar:T ⊑ ∀-:p2.:C3,∃:p3.shar:T ⊑ :C3,∃-:p1.shar:T ⊑ ∀:p1.:C3,∃:p3.shar:T ⊑ ∀-:p3.:C3,∃:p1.shar:T ⊑ ∀-:p3.:C3,∃:p1.shar:T ⊑ ∃-:p2.:C3,∃:p1.shar:T ⊑ ∃:p1.:C3,∃-:p3.shar:T ⊑ ∃-:p3.:C3,∃-:p3.shar:T ⊑ ∃:p1.:C3,∃-:p2.shar:T ⊑ ∃:p1.:C3,∃-:p2.shar:T ⊑ ∃-:p3.:C3,∃-:p3.shar:T ⊑ ∃-:p2.:C3,∃-:p1.shar:T ⊑ :C3,∃-:p3.shar:T ⊑ ∀:p1.:C3,∃:p1.shar:T ⊑ ∃-:p3.:C3,∃:p2.shar:T ⊑ ∀-:p3.:C3
9;success;89;76;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v1 :p1 ?v2 . ?v2 :p1 ?v1 . ?v1 :p3 ?v2 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v2 a :C1 };;66;∃:p2.shar:T ⊑ ∃-:p1.:C2,:C2 ⊑ ∃:p3.:C2,∃:p2.shar:T ⊑ ∃-:p2.:C2,∃-:p1.shar:T ⊑ ∃-:p3.:C2,∃:p3.shar:T ⊑ ∃-:p2.:C2,∃:p2.shar:T ⊑ ∀-:p2.:C2,∃:p1.shar:T ⊑ ∀-:p3.:C2,∃-:p2.shar:T ⊑ ∃-:p1.:C2,∃:p2.shar:T ⊑ ∃-:p3.:C2,:C2 ⊑ ∃:p1.:C2,∃:p1.shar:T ⊑ ∃-:p1.:C2,∃-:p2.shar:T ⊑ ∃:p3.:C2,∃:p3.shar:T ⊑ ∃-:p1.:C2,∃:p3.shar:T ⊑ ∃-:p3.:C2,∃:p3.shar:T ⊑ ∃:p3.:C2,∃-:p3.shar:T ⊑ ∃-:p2.:C2,∃:p2.shar:T ⊑ ∃:p1.:C2,∃-:p1.shar:T ⊑ ∀:p1.:C2,∃:p1.shar:T ⊑ ∃:p2.:C2,∃:p1.shar:T ⊑ ∃-:p3.:C2,∃:p1.shar:T ⊑ ∀-:p1.:C2,∃-:p2.shar:T ⊑ ∃-:p2.:C2,∃:p2.shar:T ⊑ ∃:p2.:C2,∃-:p3.shar:T ⊑ :C2,∃-:p3.shar:T ⊑ ∀:p1.:C2,∃:p1.shar:T ⊑ ∃:p1.:C2,∃-:p2.shar:T ⊑ :C2,∃:p1.shar:T ⊑ ∃-:p2.:C2,∃:p3.shar:T ⊑ ∃:p1.:C2,∃-:p2.shar:T ⊑ ∀:p2.:C2,∃:p2.shar:T ⊑ ∀-:p3.:C2,∃:p3.shar:T ⊑ ∃:p2.:C2,∃-:p2.shar:T ⊑ ∀:p1.:C2,:C2 ⊑ ∃-:p3.:C2,∃:p1.shar:T ⊑ ∃:p3.:C2,∃-:p2.shar:T ⊑ ∀:p3.:C2,∃-:p3.shar:T ⊑ ∃:p2.:C2,∃-:p1.shar:T ⊑ ∃-:p2.:C2,∃-:p3.shar:T ⊑ ∃-:p3.:C2,∃-:p3.shar:T ⊑ ∃:p1.:C2,∃:p3.shar:T ⊑ ∀-:p2.:C2,∃-:p1.shar:T ⊑ ∃:p2.:C2,∃-:p1.shar:T ⊑ ∀:p2.:C2,∃:p3.shar:T ⊑ ∀-:p1.:C2,∃-:p3.shar:T ⊑ ∃:p3.:C2,:C2 ⊑ ∃-:p1.:C2,∃-:p3.shar:T ⊑ ∀:p2.:C2,∃:p2.shar:T ⊑ ∃:p3.:C2,∃-:p1.shar:T ⊑ ∃:p1.:C2,∃-:p2.shar:T ⊑ ∃-:p3.:C2,:C2 ⊑ ∃:p2.:C2,∃-:p1.shar:T ⊑ ∀:p3.:C2,:C2 ⊑ ∃-:p2.:C2,∃:p2.shar:T ⊑ ∀-:p1.:C2,∃:p1.shar:T ⊑ ∀-:p2.:C2,∃:p3.shar:T ⊑ :C2,∃-:p2.shar:T ⊑ ∃:p1.:C2,∃-:p2.shar:T ⊑ ∃:p2.:C2,∃:p3.shar:T ⊑ ∀-:p3.:C2,∃:p1.shar:T ⊑ :C2,∃-:p1.shar:T ⊑ ∃:p3.:C2,∃-:p1.shar:T ⊑ :C2,∃-:p3.shar:T ⊑ ∀:p3.:C2,∃:p2.shar:T ⊑ :C2,∃-:p1.shar:T ⊑ ∃-:p1.:C2,∃-:p3.shar:T ⊑ ∃-:p1.:C2
10;success;76;61;false;0;0;CONSTRUCT { ?v3 :p4 ?v2 . ?v2 :p3 ?v1 . ?v2 a :C1 . ?v2 a :C3 . ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v1 };;126;∃-:p4.shar:T ⊑ ∀:p3.:C2,∃:p3.shar:T ⊑ :C3,:C1 ⊑ :C3,∃:p3.shar:T ⊑ ∀-:p3.:C3,∃-:p4.shar:T ⊑ :C1,:C3 ⊑ :C1,∃-:p3.shar:T ⊑ ∀:p4.:C3,∃:p4.shar:T ⊑ ∀-:p3.:C1,∃:p3.shar:T ⊑ :C1,∃:p4.shar:T ⊑ ∃:p4.:C3,∃-:p3.shar:T ⊑ ∀:p4.:C1,:C3 ⊑ ∃:p3.:C2,:C2 ⊑ ∃-:p3.:C1,∃-:p4.shar:T ⊑ :C3,∃-:p4.shar:T ⊑ ∃:p3.:C2,:C2 ⊑ ∃-:p3.:C3,∃:p3.shar:T ⊑ ∃:p3.:C2,∃-:p3.shar:T ⊑ :C2,∃:p4.shar:T ⊑ ∀-:p3.:C3,∃:p4.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ ∀-:p3.:C1,∃-:p4.shar:T ⊑ ∀:p4.:C1,∃-:p3.shar:T ⊑ ∃-:p3.:C3,∃-:p4.shar:T ⊑ ∀:p4.:C3,∃-:p3.shar:T ⊑ ∃-:p3.:C1,:C1 ⊑ ∃:p3.:C2,∃-:p3.shar:T ⊑ ∀:p3.:C2
