ID;Fail;Total (ms);Filtering (ms);Timeout;Restarts;Restarting (ms);Query;In;Candidates;Out
101;success;7;7;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };:C1 ⊑ ∃:p1.:C1;0;
102;success;0;0;false;0;0;CONSTRUCT { :a1 a :C3 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C2 ⊑ :C1,:C1 ⊑ :C3;0;
103;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 };:C2 ⊑ :C1,:C1 ⊑ :C2;0;
104;success;12;12;false;0;0;CONSTRUCT { :a1 a :C3 . ?v1 a :C4 } WHERE { ?v1 a :C1 };:C3 ⊑ :C1;0;
105;success;0;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃:p1.⊤ ⊑ ∃:p1.:C1,:C1 ⊑ ∃-:p1.:C1;0;
106;success;10;0;false;0;0;CONSTRUCT { ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C1 ⊑ :C2;0;
107;success;15;15;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 . ?v1 a :C3 } WHERE { ?v1 a :C1 };∃-:p1.⊤ ⊑ ∃:p1.:C3;0;∃:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C3٭٭,:C3٭٭ ⊑ ∃:p1٭٭.:C3٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C3٭٭,∃:p1٭٭.⊤ ⊑ :C3٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C3٭٭,∃-:p1٭٭.⊤ ⊑ :C3٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C3٭٭,∃-:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C3٭٭,:C3٭٭ ⊑ ∃-:p1٭٭.:C3٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C3٭٭
108;success;7;3;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };∃-:p1.⊤ ⊑ ∀:p1.:P,:C1 ⊑ :C2;0;∃:p2٭٭.⊤ ⊑ ∀-:p2٭٭.:C2٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C2٭٭,∃:p2٭٭.⊤ ⊑ :C2٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:P
109;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 };:C1 ⊑ :C2;0;
110;success;11;0;false;0;0;CONSTRUCT { ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C2 ⊑ :C1;0;
111;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };∃:p1.⊤ ⊑ ∃-:p1.:C3;0;:C2٭٭ ⊑ :C3٭٭,:C3٭٭ ⊑ :C2٭٭
112;success;10;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C2 ⊑ ∃-:p1.:C2;0;
113;success;0;0;false;0;0;CONSTRUCT { ?v3 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };∃-:p1.⊤ ⊑ ∀:p1.:C1;0;
114;success;11;1;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃-:p1.⊤ ⊑ ∃:p1.:C1;0;
115;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v1 a :C1 };∃:p1.⊤ ⊑ ∃:p1.:C2;0;
116;success;12;2;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 } WHERE { ?v1 :p1 ?v2 };∃-:p2.⊤ ⊑ ∀:p1.:P,∃-:p2.⊤ ⊑ ∀:p2.:P;0;
117;success;10;10;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃-:p1.⊤ ⊑ ∃-:p1.:C1;0;
118;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };:C2 ⊑ :C3;0;
119;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 a :C3 } WHERE { ?v1 a :C1 . :a1 a :C1 };:C1 ⊑ :C3,:C1 ⊑ :C2;0;:C2٭٭ ⊑ :C3٭٭,:C3٭٭ ⊑ :C2٭٭
120;success;11;11;false;0;0;CONSTRUCT { :a1 a :C3 . ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C1 ⊑ :C3,∃-:p1.⊤ ⊑ ∃-:p1.:C3;0;
121;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ :C2;0;
122;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };:C2 ⊑ ∃-:p1.:C2;0;
123;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 };:C2 ⊑ :C1;0;
124;success;0;0;false;0;0;CONSTRUCT { :a1 a :C1 } WHERE { ?v1 :p1 ?v2 };∃-:p1.⊤ ⊑ :C1;0;
125;success;11;11;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };∃-:p2.⊤ ⊑ ∀:p2.:C1;0;
126;success;10;10;false;0;0;CONSTRUCT { ?v1 :p1 :a1 . ?v2 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ ∀-:p1.:C1,∃-:p1.⊤ ⊑ ∃-:p1.:C1;0;
127;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C1 ⊑ :C3,:C3 ⊑ :C1;0;
128;success;11;11;false;0;0;CONSTRUCT { ?v1 :p3 ?v2 . ?v2 :p4 ?v1 } WHERE { ?v1 :p1 ?v2 };∃-:p4.⊤ ⊑ ∀:p3.:P;0;
129;success;0;0;false;0;0;CONSTRUCT { :a1 a :C2 } WHERE { ?v1 a :C1 };:C1 ⊑ :C2;0;
130;success;10;0;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };∃-:p2.⊤ ⊑ ∀:p2.:C1;0;
131;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C2 } WHERE { ?v1 a :C1 . ?v2 a :C1 };:C2 ⊑ :C1;0;
132;success;2;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v2 . ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };∃:p1.⊤ ⊑ ∀-:p1.:C3;0;∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C3٭٭,∃:p1٭٭.⊤ ⊑ :C3٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C3٭٭
133;success;10;0;false;0;0;CONSTRUCT { ?v2 a :C2 } WHERE { ?v1 :p1 ?v2 };:C2 ⊑ ∃-:p1.:C2,∃:p1.⊤ ⊑ ∀-:p1.:P;0;
134;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };∃:p1.⊤ ⊑ ∃-:p1.:C3;0;
135;success;11;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v2 a :C1 };∃-:p1.⊤ ⊑ ∃:p1.:C2,∃-:p1.⊤ ⊑ :C1;0;
136;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 };:C1 ⊑ :C2,:C2 ⊑ :C1;0;
137;success;0;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };∃-:p1.⊤ ⊑ ∃:p1.:C2,∃:p1.⊤ ⊑ ∀-:p1.:C1;0;
138;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v2 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v2 a :C1 };∃:p1.⊤ ⊑ ∀-:p1.:C1;0;:C2٭٭ ⊑ ∃:p1٭٭.:C2٭٭,:C2٭٭ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
139;success;0;0;false;0;0;CONSTRUCT { ?v1 :p2 ?v1 . ?v1 :p3 ?v1 } WHERE { ?v1 a :C1 };∃:p2.⊤ ⊑ ∃-:p2.:C1;0;
140;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v1 a :C1 };∃:p1.⊤ ⊑ ∀-:p1.:C2,∃-:p1.⊤ ⊑ :C2;0;
141;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v2 a :C1 };:C2 ⊑ :C1,:C1 ⊑ :C2;0;:C1٭٭ ⊑ :C2٭٭,:C2٭٭ ⊑ :C1٭٭
142;success;11;0;false;0;0;CONSTRUCT { ?v1 a :C2 . :a2 :p2 ?v2 } WHERE { :a1 :p1 ?v1 . ?v2 a :C1 };∃:p1.⊤ ⊑ ∀-:p2.:C1,:C1 ⊑ ∃-:p1.:C2;0;
143;success;21;11;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };∃-:p1.⊤ ⊑ :C2,:C1 ⊑ ∃-:p1.:C1;0;
144;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C2 . ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C1 };:C2 ⊑ :C3;0;:C2٭٭ ⊑ :C3٭٭,:C3٭٭ ⊑ :C2٭٭
145;success;10;10;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 . :a1 a :C2 };∃-:p1.⊤ ⊑ ∃:p1.:C2;0;
146;success;11;11;false;0;0;CONSTRUCT { ?v1 a :C2 . :a1 :p1 ?v2 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };∃-:p1.⊤ ⊑ :C1;0;
147;success;10;10;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃-:p1.⊤ ⊑ ∃:p1.:C1;0;
148;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C2 . :a1 a :C3 } WHERE { ?v1 :p1 ?v2 . ?v1 a :C1 };:C1 ⊑ ∃:p1.:C2;0;
149;success;11;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v3 } WHERE { ?v1 :p1 ?v2 . ?v1 :p2 ?v3 };∃:p1.⊤ ⊑ ∀-:p2.:P;0;∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:P
150;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C3 . ?v1 a :C4 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C3 ⊑ :C1;0;:C3٭٭ ⊑ :C4٭٭,:C4٭٭ ⊑ :C3٭٭
151;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C2 } WHERE { ?v1 a :C1 . ?v2 a :C1 };:C1 ⊑ :C2,:C2 ⊑ :C1;0;
152;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 . ?v1 a :C4 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C1 ⊑ :C4,:C2 ⊑ :C4;0;:C3٭٭ ⊑ :C4٭٭,:C4٭٭ ⊑ :C3٭٭
153;success;10;0;false;0;0;CONSTRUCT { ?v2 a :C1 } WHERE { ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ ∀-:p1.:C1;0;
154;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃:p1.⊤ ⊑ ∃:p1.:C1;0;:C2٭٭ ⊑ ∃:p1٭٭.:C2٭٭,:C2٭٭ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
155;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C1 ⊑ :C2;0;
156;success;11;11;false;0;0;CONSTRUCT { ?v1 :p3 ?v2 . ?v1 a :C1 } WHERE { ?v1 :p1 ?v2 };:C1 ⊑ ∃:p3.:C1;0;∃:p3٭٭.⊤ ⊑ :C1٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C1٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C1٭٭
157;success;0;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃:p1.⊤ ⊑ ∃-:p1.:C1,∃:p1.⊤ ⊑ :C1;0;
158;success;10;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 :p1 :a1 . ?v1 a :C1 };∃:p1.⊤ ⊑ ∃:p1.:C2,:C2 ⊑ ∃-:p1.:C1;0;
159;success;11;11;false;0;0;CONSTRUCT { ?v2 :p1 ?v1 . ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };∃-:p1.⊤ ⊑ ∀:p1.:P;0;∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C3٭٭,∃-:p1٭٭.⊤ ⊑ :C3٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C3٭٭
160;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C3 ⊑ :C2,:C3 ⊑ :C1;0;
161;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 } WHERE { ?v1 a :C1 };:C1 ⊑ :C3;0;
162;success;10;10;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃-:p1.⊤ ⊑ ∀:p1.:C1;0;
163;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 } WHERE { ?v1 a :C1 };:C3 ⊑ :C1,:C1 ⊑ :C3;0;
164;success;12;12;false;0;0;CONSTRUCT { ?v2 :p1 ?v1 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v2 a :C2 };∃:p1.⊤ ⊑ ∃:p1.:C2;0;∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
165;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C1 } WHERE { ?v1 :p1 ?v2 };:C1 ⊑ ∃:p1.:C1;0;
166;success;10;10;false;0;0;CONSTRUCT { ?v2 a :C2 } WHERE { ?v1 :p1 ?v2 };∃-:p1.⊤ ⊑ :C2,∃:p1.⊤ ⊑ ∃-:p1.:C2;0;
167;success;0;0;false;0;0;CONSTRUCT { ?v2 a :C3 . ?v1 a :C1 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C2 ⊑ :C1,:C2 ⊑ :C3;0;:C3٭٭ ⊑ :C1٭٭
168;success;11;11;false;0;0;CONSTRUCT { ?v1 :p1 :a1 } WHERE { ?v1 a :C1 };∃:p1.⊤ ⊑ ∃:p1.:C1;0;
169;success;0;0;false;0;0;CONSTRUCT { :a2 a :C2 } WHERE { :a1 a :C1 };:C2 ⊑ :C1;0;
170;success;0;0;false;0;0;CONSTRUCT { :a1 a :C2 . :a2 a :C3 } WHERE { ?v1 a :C1 };:C1 ⊑ :C2;0;
171;success;10;0;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 };∃:p1.⊤ ⊑ :C1;0;:C2٭٭ ⊑ ∃:p1٭٭.:C2٭٭,:C2٭٭ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
172;success;10;0;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 . ?v1 a :C2 } WHERE { :a1 a :C1 . ?v1 a :C2 };:C2 ⊑ ∃:p1.:C1;0;:C2٭٭ ⊑ ∃:p1٭٭.:C2٭٭,:C2٭٭ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
173;success;10;0;false;0;0;CONSTRUCT { :a1 a :C2 . ?v3 a :C3 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };∃:p1.⊤ ⊑ ∃:p1.:C1;0;
174;success;11;11;false;0;0;CONSTRUCT { ?v1 :p2 ?v1 } WHERE { ?v1 :p1 :a1 };∃:p2.⊤ ⊑ ∀-:p2.:P;0;
175;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C1 } WHERE { ?v1 :p1 ?v2 };:C1 ⊑ ∃:p1.:C1;0;
176;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C1 ⊑ :C3,:C2 ⊑ :C1;0;
177;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 };:C1 ⊑ :C2;0;
178;success;0;0;false;0;0;CONSTRUCT { :a1 a :C2 } WHERE { ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ ∀-:p1.:C2,∃-:p1.⊤ ⊑ ∃:p1.:C2;0;
179;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v1 a :C2 } WHERE { ?v1 a :C1 . :a1 :p1 :a2 };∃-:p1.⊤ ⊑ ∃-:p1.:C1;0;:C1٭٭ ⊑ :C2٭٭,:C2٭٭ ⊑ :C1٭٭
180;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C3 . ?v1 a :C4 } WHERE { ?v1 a :C1 . :a1 a :C2 };:C4 ⊑ :C3,:C2 ⊑ :C1;0;:C3٭٭ ⊑ :C4٭٭,:C4٭٭ ⊑ :C3٭٭
181;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v1 :p2 ?v1 } WHERE { ?v1 a :C1 };∃:p2.⊤ ⊑ ∀-:p2.:P;0;∃:p2٭٭.⊤ ⊑ :C1٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p2٭٭.:C1٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C1٭٭,∃-:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C1٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C1٭٭,:C1٭٭ ⊑ ∃-:p2٭٭.:C1٭٭,∃-:p2٭٭.⊤ ⊑ :C1٭٭,:C1٭٭ ⊑ ∃:p2٭٭.:C1٭٭,∃:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C1٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C1٭٭
182;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 . ?v1 a :C4 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C4 ⊑ :C2,:C2 ⊑ :C1;0;:C3٭٭ ⊑ :C4٭٭,:C4٭٭ ⊑ :C3٭٭
183;success;10;10;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v1 a :C3 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C1 ⊑ :C3,:C1 ⊑ :C2;0;:C1٭٭ ⊑ :C3٭٭,:C3٭٭ ⊑ :C1٭٭
184;success;3;0;false;0;0;CONSTRUCT { ?v2 a :C1 } WHERE { ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ ∀-:p1.:C1;0;
185;success;10;10;false;0;0;CONSTRUCT { ?v2 :p1 ?v1 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v1 };∃-:p1.⊤ ⊑ ∀:p1.:C2,∃:p1.⊤ ⊑ ∃:p1.:C1;0;∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
186;success;10;10;false;0;0;CONSTRUCT { ?v2 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ ∀-:p1.:C1,:C1 ⊑ ∃-:p1.:C1;0;
187;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v2 a :C1 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };:C1 ⊑ ∃-:p1.:C1,∃-:p1.⊤ ⊑ ∀:p1.:P;0;
188;success;15;15;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };∃:p1.⊤ ⊑ :C2;0;
189;success;1;0;false;0;0;CONSTRUCT { ?v2 a :C3 } WHERE { ?v1 a :C1 . ?v2 a :C2 };:C2 ⊑ :C3;0;
190;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C1 } WHERE { ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ :C1;0;
191;success;10;10;false;0;0;CONSTRUCT { :a1 :p1 ?v1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };∃:p1.⊤ ⊑ ∀-:p1.:P;0;
